,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
8,PANDAE,0.65,6-10 (-4),0-4 (-4),45%,0.55,9%,0,0,33%,Ash,Jager
9,DETRAIN,0.94,6-9 (-3),1-0 (+1),73%,0.55,18%,0,1,80%,Hibana,Pulse
0,SIRAL,0.59,2-8 (-6),0-1 (-1),50%,0.17,33%,0,0,50%,Lion,Echo
1,CRAZYBOY,0.88,6-6 (+0),1-1 (+0),67%,0.5,50%,0,0,20%,Lion,Smoke
2,ILEVEN,0.89,6-7 (-1),3-0 (+3),58%,0.5,42%,0,0,83%,Zofia,Ela
3,RBT,1.11,11-8 (+3),0-1 (-1),50%,0.92,33%,1,0,40%,IQ,Mozzie
4,YASS,1.54,15-6 (+9),2-0 (+2),83%,1.25,50%,0,0,60%,Buck,Echo
5,DEMIC,0.96,7-9 (-2),2-1 (+1),75%,0.58,25%,0,2,86%,Jackal,Jager
6,KANOS,1.14,10-6 (+4),1-1 (+0),67%,0.83,50%,0,0,75%,Ash,Mozzie
7,LNOE,1.1,10-8 (+2),1-1 (+0),58%,0.83,33%,0,0,60%,Sledge,Lesion
8,N3RO,0.75,7-10 (-3),1-2 (-1),50%,0.58,17%,0,0,43%,Zofia,Jager
9,HI_IM_JIN,0.49,4-10 (-6),1-4 (-3),33%,0.33,17%,0,0,75%,Ash,Doc
0,SIRAL,0.75,5-7 (-2),0-0 (+0),44%,0.56,22%,0,0,50%,Montagne,Castle
1,CRAZYBOY,1.16,7-5 (+2),1-0 (+1),78%,0.78,44%,0,0,29%,Twitch,Mute
2,ILEVEN,1.37,10-3 (+7),0-2 (-2),67%,1.11,67%,0,0,44%,Dokkaebi,Ela
3,RBT,0.69,4-7 (-3),0-1 (-1),56%,0.44,22%,0,0,75%,Buck,Vigil
4,YASS,1.34,7-3 (+4),0-0 (+0),89%,0.78,67%,0,0,14%,Buck,Kaid
5,DEMIC,0.97,5-6 (-1),1-0 (+1),78%,0.56,33%,0,0,80%,Maverick,Jager
6,KANOS,1.01,7-7 (+0),3-2 (+1),67%,0.78,22%,0,0,50%,Zofia,Mozzie
7,LNOE,0.63,2-6 (-4),0-1 (-1),56%,0.22,33%,0,0,100%,Maverick,Bandit
8,N3RO,0.69,4-8 (-4),0-3 (-3),56%,0.44,11%,0,0,50%,Twitch,Jager
9,HI_IM_JIN,1.15,9-8 (+1),4-0 (+4),67%,1,11%,0,0,63%,Sledge,Mute
0,AVIXES,0.85,3-7 (-4),0-2 (-2),82%,0.27,36%,0,1,100%,Buck,Smoke
1,LONELY,1.87,18-7 (+11),5-0 (+5),91%,1.64,36%,1,1,59%,Sledge,Jager
2,MIZU,1.16,8-6 (+2),1-1 (+0),73%,0.73,45%,0,0,14%,Zofia,Mozzie
3,MINIMALIZT,0.79,7-10 (-3),0-0 (+0),64%,0.64,9%,0,0,50%,Dokkaebi,Smoke
4,ZISTZ,0.33,3-10 (-7),0-4 (-4),18%,0.27,9%,0,0,0%,Buck,Jager
5,NUNRAII,0.46,3-9 (-6),2-3 (-1),36%,0.27,18%,0,0,33%,IQ,Smoke
6,BAROQUE,1.26,10-6 (+4),2-0 (+2),73%,0.91,45%,1,0,44%,Zofia,Lesion
7,TZK,1.07,9-8 (+1),0-0 (+0),64%,0.82,27%,0,1,56%,Blackbeard,Maestro
8,GANJO,1.29,11-5 (+6),1-1 (+0),64%,1,55%,0,0,36%,Nomad,Bandit
9,SYAF,0.7,3-8 (-5),0-0 (+0),64%,0.27,27%,0,0,0%,Thatcher,Maestro
0,AVIXES,0.45,3-10 (-7),0-0 (+0),42%,0.25,17%,0,0,33%,Hibana,Mute
1,LONELY,1.11,12-10 (+2),1-3 (-2),58%,1,17%,0,1,75%,IQ,Jager
2,MIZU,0.65,4-9 (-5),2-2 (+0),50%,0.33,25%,0,0,75%,IQ,Valkyrie
3,MINIMALIZT,1.34,12-8 (+4),1-1 (+0),75%,1,33%,1,0,42%,IQ,Mozzie
4,ZISTZ,0.84,8-10 (-2),2-0 (+2),50%,0.67,17%,0,0,57%,Zofia,Lesion
5,NUNRAII,0.83,7-9 (-2),1-2 (-1),58%,0.58,25%,0,0,57%,Thatcher,Smoke
